A Doll's House,Henrik Ibsen,http://www.sparknotes.com/lit/dollhouse/summary.html
A Midsummer Night's Dream,William Shakespeare,http://www.sparknotes.com/shakespeare/msnd/summary.html
A Portrait of the Artist as a Young Man,James Joyce,http://www.sparknotes.com/lit/portraitartist/summary.html
A Tale of Two Cities,Charles Dickens,http://www.sparknotes.com/lit/twocities/summary.html
Adam Bede,George Eliot,http://www.sparknotes.com/lit/adambede/summary.html
An Ideal Husband,Oscar Wilde,http://www.sparknotes.com/drama/idealhusband/summary.html
Anna Karenina,Leo Tolstoy,http://www.sparknotes.com/lit/anna/summary.html
Anne of Green Gables,L. M. Montgomery,http://www.sparknotes.com/lit/anneofgreengables/summary.html
Antony and Cleopatra,William Shakespeare,http://www.sparknotes.com/shakespeare/antony/summary.html
As You Like It,William Shakespeare,http://www.sparknotes.com/shakespeare/asyoulikeit/summary.html
Babbitt,Sinclair Lewis,http://www.sparknotes.com/lit/babbitt/summary.html
Bleak House,Charles Dickens,http://www.sparknotes.com/lit/bleakhouse/summary.html
Candide,Voltaire,http://www.sparknotes.com/lit/candide/summary.html
Cyrano de Bergerac,Edmond Rostand,http://www.sparknotes.com/lit/cyrano/summary.html
Don Quixote,Miguel de Cervantes,http://www.sparknotes.com/lit/donquixote/summary.html
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.sparknotes.com/lit/jekyll/summary.html
Dracula,Bram Stoker,http://www.sparknotes.com/lit/dracula/summary.html
Dubliners,James Joyce,http://www.sparknotes.com/lit/dubliners/summary.html
Emma,Jane Austen,http://www.sparknotes.com/lit/emma/summary.html
Ethan Frome,Edith Wharton,http://www.sparknotes.com/lit/frome/summary.html
Far from the Madding Crowd,Thomas Hardy,http://www.sparknotes.com/lit/maddingcrowd/summary.html
Ghosts,Henrik Ibsen,http://www.sparknotes.com/lit/ghosts/summary.html
Great Expectations,Charles Dickens,http://www.sparknotes.com/lit/greatex/summary.html
Hamlet,William Shakespeare,http://www.sparknotes.com/shakespeare/hamlet/summary.html
Hard Times,Charles Dickens,http://www.sparknotes.com/lit/hardtimes/summary.html
Heart of Darkness,Joseph Conrad,http://www.sparknotes.com/lit/heart/summary.html
Hedda Gabler,Henrik Ibsen,http://www.sparknotes.com/lit/heddagabler/summary.html
Henry IV Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt1/summary.html
Henry IV Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt2/summary.html
Henry V,William Shakespeare,http://www.sparknotes.com/shakespeare/henryv/summary.html
Henry VI Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt1/summary.html
Henry VI Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt2/summary.html
Henry VI Part 3,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt3/summary.html
Henry VIII,William Shakespeare,http://www.sparknotes.com/shakespeare/henryviii/summary.html
Herland,Charlotte Perkins Gilman,http://www.sparknotes.com/lit/herland/summary.html
Howards End,E. M. Forster,http://www.sparknotes.com/lit/howardsend/summary.html
Jude the Obscure,Thomas Hardy,http://www.sparknotes.com/lit/jude/summary.html
Julius Caesar,William Shakespeare,http://www.sparknotes.com/shakespeare/juliuscaesar/summary.html
Kidnapped,Robert Louis Stevenson,http://www.sparknotes.com/lit/kidnapped/summary.html
King John,William Shakespeare,http://www.sparknotes.com/shakespeare/kingjohn/summary.html
King Lear,William Shakespeare,http://www.sparknotes.com/shakespeare/lear/summary.html
Little Women,Louisa May Alcott,http://www.sparknotes.com/lit/littlewomen/summary.html
Lord Jim,Joseph Conrad,http://www.sparknotes.com/lit/lordjim/summary.html
Love's Labours Lost,William Shakespeare,http://www.sparknotes.com/shakespeare/labours/summary.html
