person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q1076692,Tom Scavo,http://www.wikidata.org/entity/Q131758,Desperate Housewives
http://www.wikidata.org/entity/Q1077206,Bill,http://www.wikidata.org/entity/Q223132,Kill Bill
http://www.wikidata.org/entity/Q1077404,Cornelia Hale,http://www.wikidata.org/entity/Q501456,W.I.T.C.H.
http://www.wikidata.org/entity/Q1077456,Patrick,http://www.wikidata.org/entity/Q83279,SpongeBob SquarePants
http://www.wikidata.org/entity/Q1077745,Bastian Balthasar Bux,http://www.wikidata.org/entity/Q1763378,The Neverending Story
http://www.wikidata.org/entity/Q1078696,Usopp,http://www.wikidata.org/entity/Q673,One Piece
http://www.wikidata.org/entity/Q1080113,Nick Stokes,http://www.wikidata.org/entity/Q117396,CSI: Crime Scene Investigation
http://www.wikidata.org/entity/Q1080259,Q1080259,http://www.wikidata.org/entity/Q642,Naruto
http://www.wikidata.org/entity/Q1081378,Q1081378,http://www.wikidata.org/entity/Q932592,Foundation's Edge
http://www.wikidata.org/entity/Q1081532,Marshall Eriksen,http://www.wikidata.org/entity/Q147235,How I Met Your Mother
http://www.wikidata.org/entity/Q1083020,Scrappy-Doo,http://www.wikidata.org/entity/Q205683,Scooby Doo
http://www.wikidata.org/entity/Q1084304,Violet Gray,http://www.wikidata.org/entity/Q7115636,Peanuts
http://www.wikidata.org/entity/Q1084342,Patty,http://www.wikidata.org/entity/Q7115636,Peanuts
http://www.wikidata.org/entity/Q1085009,Pyramid Head,http://www.wikidata.org/entity/Q236821,Silent Hill
http://www.wikidata.org/entity/Q1087264,Q1087264,http://www.wikidata.org/entity/Q864,Pokémon
http://www.wikidata.org/entity/Q1088114,Q1088114,http://www.wikidata.org/entity/Q477916,Dragon Ball Z
http://www.wikidata.org/entity/Q1088147,Q1088147,http://www.wikidata.org/entity/Q3945120,Saint Seiya
http://www.wikidata.org/entity/Q1088515,Scrat,http://www.wikidata.org/entity/Q943532,Ice Age
http://www.wikidata.org/entity/Q1088616,John Winchester,http://www.wikidata.org/entity/Q130585,Supernatural
http://www.wikidata.org/entity/Q1088642,Mike Delfino,http://www.wikidata.org/entity/Q131758,Desperate Housewives
http://www.wikidata.org/entity/Q1088893,Q1088893,http://www.wikidata.org/entity/Q213841,A Series of Unfortunate Events
http://www.wikidata.org/entity/Q1089230,Rayman,http://www.wikidata.org/entity/Q13219467,Rayman
http://www.wikidata.org/entity/Q1090273,Kamiya Kaoru,http://www.wikidata.org/entity/Q216439,Rurouni Kenshin
http://www.wikidata.org/entity/Q1090336,Julie Finlay,http://www.wikidata.org/entity/Q117396,CSI: Crime Scene Investigation
http://www.wikidata.org/entity/Q1090790,Q1090790,http://www.wikidata.org/entity/Q635464,Bartimaeus Sequence
http://www.wikidata.org/entity/Q1092653,Zazie Rainyday,http://www.wikidata.org/entity/Q642944,Negima! Magister Negi Magi
http://www.wikidata.org/entity/Q1093466,Paulus Atreides,http://www.wikidata.org/entity/Q190192,Dune
http://www.wikidata.org/entity/Q1093466,Paulus Atreides,http://www.wikidata.org/entity/Q437338,Dune: House Atreides
http://www.wikidata.org/entity/Q1093551,Q1093551,http://www.wikidata.org/entity/Q642,Naruto
http://www.wikidata.org/entity/Q1093597,Simone Deveaux,http://www.wikidata.org/entity/Q83401,Heroes
http://www.wikidata.org/entity/Q1093628,Elle Bishop,http://www.wikidata.org/entity/Q83401,Heroes
http://www.wikidata.org/entity/Q1096984,Planktohn,http://www.wikidata.org/entity/Q83279,SpongeBob SquarePants
http://www.wikidata.org/entity/Q1099393,Q1099393,http://www.wikidata.org/entity/Q130585,Supernatural
http://www.wikidata.org/entity/Q1103958,Rufus Shinra,http://www.wikidata.org/entity/Q214232,Final Fantasy VII
http://www.wikidata.org/entity/Q1103958,Rufus Shinra,http://www.wikidata.org/entity/Q387674,Final Fantasy VII: Advent Children
http://www.wikidata.org/entity/Q1109033,Jeffrey Spender,http://www.wikidata.org/entity/Q2744,The X-Files
http://www.wikidata.org/entity/Q1109162,Q1109162,http://www.wikidata.org/entity/Q864,Pokémon
http://www.wikidata.org/entity/Q1109410,Joey Potter,http://www.wikidata.org/entity/Q461357,Dawson's Creek
http://www.wikidata.org/entity/Q1113806,Q1113806,http://www.wikidata.org/entity/Q642,Naruto
http://www.wikidata.org/entity/Q1115836,Ryu Hayabusa,http://www.wikidata.org/entity/Q1180890,Dead or Alive
http://www.wikidata.org/entity/Q1117747,Q1117747,http://www.wikidata.org/entity/Q700424,Grendizer
http://www.wikidata.org/entity/Q1121716,Q1121716,http://www.wikidata.org/entity/Q937172,Gargoyles
http://www.wikidata.org/entity/Q1130146,Q1130146,http://www.wikidata.org/entity/Q130585,Supernatural
http://www.wikidata.org/entity/Q1133043,Chen Ying,http://www.wikidata.org/entity/Q70806,Romance of the Three Kingdoms
http://www.wikidata.org/entity/Q1133115,Kim Kaphwan,http://www.wikidata.org/entity/Q257233,Fatal Fury
http://www.wikidata.org/entity/Q1133815,Raoh,http://www.wikidata.org/entity/Q733498,Fist of the North Star
http://www.wikidata.org/entity/Q1134269,Rinoa Heartilly,http://www.wikidata.org/entity/Q189842,Final Fantasy
http://www.wikidata.org/entity/Q1134465,Donna Hayward,http://www.wikidata.org/entity/Q2085,Twin Peaks
http://www.wikidata.org/entity/Q1134495,Q1134495,http://www.wikidata.org/entity/Q216655,Metal Gear
http://www.wikidata.org/entity/Q1134501,Q1134501,http://www.wikidata.org/entity/Q864,Pokémon
http://www.wikidata.org/entity/Q1134585,Hiroshi Nohara,http://www.wikidata.org/entity/Q120300,Crayon Shin-chan
http://www.wikidata.org/entity/Q1134950,Takeshi Gouda,http://www.wikidata.org/entity/Q235311,Doraemon
http://www.wikidata.org/entity/Q1136987,Shadow the Hedgehog,http://www.wikidata.org/entity/Q1046812,Sonic the Hedgehog
http://www.wikidata.org/entity/Q1138965,Leon S. Kennedy,http://www.wikidata.org/entity/Q220260,Resident Evil franchise
