person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q1345843,Wheeljack,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q1365975,Ultra Magnus,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q1365975,Ultra Magnus,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2016733,Primus,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2065640,Sideways,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2082487,Swoop,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2082487,Swoop,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2082487,Swoop,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2083360,Bluestreak,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2083360,Bluestreak,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2083360,Bluestreak,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2083372,Hound,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2083372,Hound,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2083372,Hound,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2084098,Blaster,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2084098,Blaster,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2084098,Blaster,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2084098,Blaster,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q2086714,Q2086714,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2086714,Q2086714,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2086732,Cosmos,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2086732,Cosmos,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2088903,Red Alert,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2088903,Red Alert,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2088903,Red Alert,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q2089203,Windcharger,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2089203,Windcharger,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2089203,Windcharger,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2337020,Alpha Trion,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2337020,Alpha Trion,http://www.wikidata.org/entity/Q1323565,Transformers
http://www.wikidata.org/entity/Q2337020,Alpha Trion,http://www.wikidata.org/entity/Q2407494,Transformers: The Headmasters
http://www.wikidata.org/entity/Q2574551,Skywarp,http://www.wikidata.org/entity/Q250378,The Transformers: The Movie
http://www.wikidata.org/entity/Q2574551,Skywarp,http://www.wikidata.org/entity/Q602883,The Transformers
http://www.wikidata.org/entity/Q2574551,Skywarp,http://www.wikidata.org/entity/Q1323565,Transformers
