A Doll's House,Henrik Ibsen,http://www.sparknotes.com/lit/dollhouse/summary.html,http://www.imdb.com/title/tt0069987/,
A Midsummer Night's Dream,William Shakespeare,http://www.sparknotes.com/shakespeare/msnd/summary.html,http://www.imdb.com/title/tt0140379/,
A Portrait of the Artist as a Young Man,James Joyce,http://www.sparknotes.com/lit/portraitartist/summary.html,http://www.imdb.com/title/tt0079740/,
A Tale of Two Cities,Charles Dickens,http://www.sparknotes.com/lit/twocities/summary.html,http://www.imdb.com/title/tt0027075/,
Adam Bede,George Eliot,http://www.sparknotes.com/lit/adambede/summary.html,http://www.imdb.com/title/tt0231084/,
An Ideal Husband,Oscar Wilde,http://www.sparknotes.com/drama/idealhusband/summary.html,http://www.imdb.com/title/tt0122541/,
Anna Karenina,Leo Tolstoy,http://www.sparknotes.com/lit/anna/summary.html,http://www.imdb.com/title/tt1781769/,
Anne of Green Gables,L. M. Montgomery,http://www.sparknotes.com/lit/anneofgreengables/summary.html,http://www.imdb.com/title/tt0088727/,
Antony and Cleopatra,William Shakespeare,http://www.sparknotes.com/shakespeare/antony/summary.html,http://www.imdb.com/title/tt0068920/,
As You Like It,William Shakespeare,http://www.sparknotes.com/shakespeare/asyoulikeit/summary.html,http://www.imdb.com/title/tt0450972/,
Babbitt,Sinclair Lewis,http://www.sparknotes.com/lit/babbitt/summary.html,http://www.imdb.com/title/tt0024851/,
Bleak House,Charles Dickens,http://www.sparknotes.com/lit/bleakhouse/summary.html,http://www.imdb.com/title/tt0442632/,
Candide,Voltaire,http://www.sparknotes.com/lit/candide/summary.html,http://www.imdb.com/title/tt0054719/,
Cyrano de Bergerac,Edmond Rostand,http://www.sparknotes.com/lit/cyrano/summary.html,http://www.imdb.com/title/tt0099334/,
Don Quixote,Miguel de Cervantes,http://www.sparknotes.com/lit/donquixote/summary.html,,
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.sparknotes.com/lit/jekyll/summary.html,http://www.imdb.com/title/tt0022835/,
Dracula,Bram Stoker,http://www.sparknotes.com/lit/dracula/summary.html,http://www.imdb.com/title/tt0103874/,
Dubliners,James Joyce,http://www.sparknotes.com/lit/dubliners/summary.html,,
Emma,Jane Austen,http://www.sparknotes.com/lit/emma/summary.html,http://www.imdb.com/title/tt0116191/,
Ethan Frome,Edith Wharton,http://www.sparknotes.com/lit/frome/summary.html,http://www.imdb.com/title/tt0106833/,
Far from the Madding Crowd,Thomas Hardy,http://www.sparknotes.com/lit/maddingcrowd/summary.html,http://www.imdb.com/title/tt2935476/,
Ghosts,Henrik Ibsen,http://www.sparknotes.com/lit/ghosts/summary.html,,
Great Expectations,Charles Dickens,http://www.sparknotes.com/lit/greatex/summary.html,http://www.imdb.com/title/tt0119223/,
Hamlet,William Shakespeare,http://www.sparknotes.com/shakespeare/hamlet/summary.html,http://www.imdb.com/title/tt0116477/,
Hard Times,Charles Dickens,http://www.sparknotes.com/lit/hardtimes/summary.html,,
Heart of Darkness,Joseph Conrad,http://www.sparknotes.com/lit/heart/summary.html,http://www.imdb.com/title/tt0110002/,
Hedda Gabler,Henrik Ibsen,http://www.sparknotes.com/lit/heddagabler/summary.html,http://www.imdb.com/title/tt2270456/,
Henry IV Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt1/summary.html,http://www.imdb.com/title/tt3129954/,
Henry IV Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt2/summary.html,http://www.imdb.com/title/tt1196960/,
Henry V,William Shakespeare,http://www.sparknotes.com/shakespeare/henryv/summary.html,http://www.imdb.com/title/tt0097499/,
Henry VI Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt1/summary.html,http://www.imdb.com/title/tt2262456/,
Henry VI Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt2/summary.html,http://www.imdb.com/title/tt2262456/,
Henry VI Part 3,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt3/summary.html,http://www.imdb.com/title/tt1312267/,
Henry VIII,William Shakespeare,http://www.sparknotes.com/shakespeare/henryviii/summary.html,http://www.imdb.com/title/tt0080860/,
Herland,Charlotte Perkins Gilman,http://www.sparknotes.com/lit/herland/summary.html,,
Howards End,E. M. Forster,http://www.sparknotes.com/lit/howardsend/summary.html,http://www.imdb.com/title/tt0104454/,
Jude the Obscure,Thomas Hardy,http://www.sparknotes.com/lit/jude/summary.html,http://www.imdb.com/title/tt0066674/,
Julius Caesar,William Shakespeare,http://www.sparknotes.com/shakespeare/juliuscaesar/summary.html,http://www.imdb.com/title/tt0045943/,
Kidnapped,Robert Louis Stevenson,http://www.sparknotes.com/lit/kidnapped/summary.html,,
King John,William Shakespeare,http://www.sparknotes.com/shakespeare/kingjohn/summary.html,http://www.imdb.com/title/tt0000247/,
King Lear,William Shakespeare,http://www.sparknotes.com/shakespeare/lear/summary.html,http://www.imdb.com/title/tt2049483/,
Little Women,Louisa May Alcott,http://www.sparknotes.com/lit/littlewomen/summary.html,http://www.imdb.com/title/tt0110367/,
Lord Jim,Joseph Conrad,http://www.sparknotes.com/lit/lordjim/summary.html,http://www.imdb.com/title/tt0059399/,
Love's Labours Lost,William Shakespeare,http://www.sparknotes.com/shakespeare/labours/summary.html,,
Lysistrata,Aristophanes,http://www.sparknotes.com/drama/lysistrata/summary.html,http://www.imdb.com/title/tt0335261/,
Macbeth,William Shakespeare,http://www.sparknotes.com/shakespeare/macbeth/summary.html,http://www.imdb.com/title/tt2884018/,
Madame Bovary,Gustave Flaubert,http://www.sparknotes.com/lit/bovary/summary.html,http://www.imdb.com/title/tt2334733/,
Maggie: A Girl of the Streets,Stephen Crane,http://www.sparknotes.com/lit/maggie/summary.html,,
Main Street,Sinclair Lewis,http://www.sparknotes.com/lit/mainstreet/summary.html,http://www.imdb.com/title/tt0014239/,
Major Barbara,George Bernard Shaw,http://www.sparknotes.com/drama/majorbarbara/summary.html,http://www.imdb.com/title/tt0033868/,
Mansfield Park,Jane Austen,http://www.sparknotes.com/lit/mansfieldpark/summary.html,http://www.imdb.com/title/tt0178737/,
Measure for Measure,William Shakespeare,http://www.sparknotes.com/shakespeare/measure/summary.html,http://www.imdb.com/title/tt0077920/,
Middlemarch,George Eliot,http://www.sparknotes.com/lit/middlemarch/summary.html,http://www.imdb.com/title/tt0108858/,
Much Ado About Nothing,William Shakespeare,http://www.sparknotes.com/shakespeare/muchado/summary.html,http://www.imdb.com/title/tt0107616/,
Narrative of the Life of Frederick Douglass,Frederick Douglass,http://www.sparknotes.com/lit/narrative/summary.html,,
Northanger Abbey,Jane Austen,http://www.sparknotes.com/lit/northangerabbey/summary.html,http://www.imdb.com/title/tt0844794/,
O Pioneers!,Willa Cather,http://www.sparknotes.com/lit/opioneers/summary.html,http://www.imdb.com/title/tt0105038/,
Oliver Twist,Charles Dickens,http://www.sparknotes.com/lit/oliver/summary.html,http://www.imdb.com/title/tt0380599/,
Othello,William Shakespeare,http://www.sparknotes.com/shakespeare/othello/summary.html,http://www.imdb.com/title/tt0184791/,
Paradise Lost,John Milton,http://www.sparknotes.com/poetry/paradiselost/summary.html,,
Persuasion,Jane Austen,http://www.sparknotes.com/lit/persuasion/summary.html,http://www.imdb.com/title/tt0844330/,
Pride and Prejudice,Jane Austen,http://www.sparknotes.com/lit/pride/summary.html,http://www.imdb.com/title/tt0112130/,
Pygmalion,George Bernard Shaw,http://www.sparknotes.com/lit/pygmalion/summary.html,http://www.imdb.com/title/tt0030637/,
Richard II,William Shakespeare,http://www.sparknotes.com/shakespeare/richardii/summary.html,http://www.imdb.com/title/tt0077806/,
Romeo and Juliet,William Shakespeare,http://www.sparknotes.com/shakespeare/romeojuliet/summary.html,http://www.imdb.com/title/tt0117509/,
Sense and Sensibility,Jane Austen,http://www.sparknotes.com/lit/sensibility/summary.html,http://www.imdb.com/title/tt0114388/,
Siddhartha,Hermann Hesse,http://www.sparknotes.com/lit/siddhartha/summary.html,http://www.imdb.com/title/tt0070689/,
Silas Marner,George Eliot,http://www.sparknotes.com/lit/silas/summary.html,http://www.imdb.com/title/tt0090019/,
Sister Carrie,Theodore Dreiser,http://www.sparknotes.com/lit/sistercarrie/summary.html,,
Spanish Tragedy,Thomas Kyd,http://www.sparknotes.com/drama/spanishtragedy/summary.html,,
Swann's Way,Marcel Proust,http://www.sparknotes.com/lit/swannsway/summary.html,,
The Adventures of Tom Sawyer,Mark Twain,http://www.sparknotes.com/lit/tomsawyer/summary.html,http://www.imdb.com/title/tt0029844/,
The Aeneid,Virgil,http://www.sparknotes.com/lit/aeneid/summary.html,,
The American,Henry James,http://www.sparknotes.com/lit/american/summary.html,http://www.imdb.com/title/tt0215514/,
The Comedy of Errors,William Shakespeare,http://www.sparknotes.com/shakespeare/errors/summary.html,http://www.imdb.com/title/tt0085351/,
